,,"Karma Down Under_VS_Dump, Swing, Huck, Repeat_2015-01-05_20_15_27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Maya Popovic,Pass,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Nick Ierullo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Stephanie Fowler,Pass,Jean Surette,Pass,Rob Ives,Pass,Nick Ierullo,Pass,James King,Pass,Jean Surette,Pass,Rob Ives,Pass,James King,Pass,Nick Ierullo,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Marie-Claude Lacombe,Pass,Douglas Brierley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Graham Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Jim Robinson,Pass,Laura Chambers Storey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Andrew W Cameron,Pass,Maya Popovic,Pass,Amelia Keenan,Pass,Andrew W Cameron,Pass,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Nick Ierullo,Pass,James King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Richard Gregory,Pass,Shubho Bo Biswas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Steve Chow,Pass,James King,Pass,Rob Ives,Pass,James King,Pass,Laura Chambers Storey,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Amelia Keenan,Pass,Richard Gregory,Pass,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Lissa Greenspoon,Pass,Jean Surette,Pass,Rob Ives,Pass,Lissa Greenspoon,Pass,Rob Ives,Pass,Steve Chow,Pass,James King,Pass,Laura Chambers Storey,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Jim Robinson,Pass,Graham Brown,Pass,Stephanie Fowler,Pass,Jim Robinson,Pass,Rob Ives,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Stephen Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Stephen Close,Pass,Richard Gregory,Pass,Amelia Keenan,Pass,Mehmet Karman,Pass,Maya Popovic,Pass,Richard Gregory,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Jean Surette,Pass,Steve Chow,Pass,James King,Pass,Steve Chow,Pass,Laura Chambers Storey,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Mehmet Karman,Pass,Maya Popovic,Pass,Marc Gobeil,Pass,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Rob Ives,Pass,Nick Ierullo,Pass,Stephanie Fowler,Pass,Nick Ierullo,Pass,Rob Ives,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Andrew W Cameron,Pass,Richard Gregory,Pass,Andrew W Cameron,Pass,Maya Popovic,Pass,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Laura Chambers Storey,Pass,Graham Brown,Pass,Laura Chambers Storey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Andrea Proulx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Andrew W Cameron,Pass,Stephen Close,Pass,Marie-Claude Lacombe,Pass,Shubho Bo Biswas,Pass,Stephen Close,Pass,Shubho Bo Biswas,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Steve Chow,Pass,Rob Ives,Pass,Steve Chow,Pass,Rob Ives,Pass,James King,Pass,Laura Chambers Storey,Pass,Jean Surette,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Shubho Bo Biswas,Pass,Mehmet Karman,Pass,Shubho Bo Biswas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Stephanie Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,James King,Pass,Rob Ives,Pass,James King,Pass,Jim Robinson,Pass,Rob Ives,Pass,Jim Robinson,Pass,Rob Ives,Pass,James King,Pass,Rob Ives,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Game of Throws_VS_Huck Huck Goose_2015-01-05_21_35_36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,1st half,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
